,Date,China,Taiwan,US,Canada
121,2020-05-22,18.0,1.0,24141.0,1205.0
122,2020-05-23,3.0,0.0,21823.0,1204.0
123,2020-05-24,11.0,0.0,20813.0,955.0
124,2020-05-25,7.0,0.0,18991.0,1013.0
125,2020-05-26,1.0,0.0,18883.0,971.0
126,2020-05-27,3.0,0.0,18282.0,899.0
127,2020-05-28,0.0,0.0,22815.0,987.0
128,2020-05-29,17.0,1.0,24504.0,933.0
129,2020-05-30,5.0,0.0,24450.0,772.0
130,2020-05-31,18.0,0.0,19910.0,798.0
